OTU ID	A01-nonchimeras.blast	A02-nonchimeras.blast	A03-nonchimeras.blast	A04-nonchimeras.blast	A05-nonchimeras.blast	A06-nonchimeras.blast	A07-nonchimeras.blast	A08-nonchimeras.blast	A09-nonchimeras.blast	A10-nonchimeras.blast	A12-nonchimeras.blast	B01-nonchimeras.blast	B02-nonchimeras.blast	B03-nonchimeras.blast	B04-nonchimeras.blast	B05-nonchimeras.blast	B06-nonchimeras.blast	B07-nonchimeras.blast	B08-nonchimeras.blast	B09-nonchimeras.blast	B10-nonchimeras.blast	B12-nonchimeras.blast	C01-nonchimeras.blast	C02-nonchimeras.blast	C03-nonchimeras.blast	C04-nonchimeras.blast	C05-nonchimeras.blast	C06-nonchimeras.blast	C07-nonchimeras.blast	C08-nonchimeras.blast	C09-nonchimeras.blast	C10-nonchimeras.blast	C12-nonchimeras.blast	D01-nonchimeras.blast	D02-nonchimeras.blast	D03-nonchimeras.blast	D04-nonchimeras.blast	D05-nonchimeras.blast	D06-nonchimeras.blast	D07-nonchimeras.blast	D08-nonchimeras.blast	D09-nonchimeras.blast	D10-nonchimeras.blast	D12-nonchimeras.blast	E01-nonchimeras.blast	E02-nonchimeras.blast	E03-nonchimeras.blast	E04-nonchimeras.blast	E05-nonchimeras.blast	E06-nonchimeras.blast	E07-nonchimeras.blast	E08-nonchimeras.blast	E09-nonchimeras.blast	E10-nonchimeras.blast	E11-nonchimeras.blast	E12-nonchimeras.blast	F01-nonchimeras.blast	F02-nonchimeras.blast	F03-nonchimeras.blast	F04-nonchimeras.blast	F05-nonchimeras.blast	F06-nonchimeras.blast	F07-nonchimeras.blast	F08-nonchimeras.blast	F09-nonchimeras.blast	F10-nonchimeras.blast	F11-nonchimeras.blast	F12-nonchimeras.blast	G01-nonchimeras.blast	G02-nonchimeras.blast	G03-nonchimeras.blast	G04-nonchimeras.blast	G05-nonchimeras.blast	G06-nonchimeras.blast	G07-nonchimeras.blast	G08-nonchimeras.blast	G09-nonchimeras.blast	G11-nonchimeras.blast	H01-nonchimeras.blast	H02-nonchimeras.blast	H03-nonchimeras.blast	H04-nonchimeras.blast	H05-nonchimeras.blast	H06-nonchimeras.blast	H07-nonchimeras.blast	H08-nonchimeras.blast	H09-nonchimeras.blast	H11-nonchimeras.blast	taxomomy
Leuciscus leuciscus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.0	472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Leuciscus', 's__Leuciscus_leuciscus']
Gasterosteus aculeatus	1195.0	0.0	0.0	957.0	0.0	0.0	0.0	656.0	0.0	0.0	0.0	78.0	0.0	2066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4662.0	0.0	35.0	0.0	0.0	389.0	0.0	0.0	0.0	51.0	0.0	2005.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2740.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4267.0	0.0	0.0	0.0	0.0	1275.0	0.0	0.0	0.0	0.0	1307.0	1698.0	0.0	0.0	0.0	0.0	2733.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Gasterosteidae', 'g__Gasterosteus', 's__Gasterosteus_aculeatus']
Umbra pygmaea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	860.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12943.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1788.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4827.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Umbridae', 'g__Umbra', 's__Umbra_pygmaea']
Anguilla anguilla	0.0	4278.0	4779.0	1372.0	1548.0	0.0	0.0	324.0	1549.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1038.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	2094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3801.0	0.0	0.0	0.0	0.0	0.0	1046.0	19114.0	0.0	0.0	0.0	0.0	0.0	0.0	5568.0	3.0	0.0	0.0	0.0	1319.0	0.0	1704.0	0.0	0.0	925.0	0.0	0.0	0.0	1315.0	0.0	0.0	0.0	0.0	0.0	2388.0	430.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Anguilliformes', 'f__Anguillidae', 'g__Anguilla', 's__Anguilla_anguilla']
Cyprinus carpio	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16713.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4030.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	0.0	7.0	7059.0	442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	9349.0	17813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Cyprinus', 's__Cyprinus_carpio']
Esox lucius	0.0	0.0	0.0	303.0	56.0	0.0	0.0	1605.0	1534.0	0.0	0.0	0.0	1940.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	60.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	58.0	165.0	16.0	0.0	144.0	0.0	0.0	9.0	921.0	0.0	0.0	0.0	4.0	4784.0	0.0	89.0	0.0	0.0	33.0	86.0	0.0	5979.0	0.0	10.0	2467.0	6859.0	0.0	84.0	0.0	0.0	5379.0	0.0	0.0	0.0	0.0	511.0	16.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3790.0	3.0	4642.0	0.0	0.0	1407.0	0.0	0.0	0.0	0.0	2076.0	427.0	9733.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Esociformes', 'f__Esocidae', 'g__Esox', 's__Esox_lucius']
Salmo salar	19.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	482.0	0.0	0.0	866.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	638.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_salar']
Salmo trutta	1481.0	756.0	0.0	2955.0	349.0	0.0	1096.0	276.0	3513.0	27.0	0.0	563.0	0.0	2150.0	0.0	0.0	0.0	94.0	0.0	339.0	9.0	0.0	140.0	0.0	1819.0	0.0	0.0	0.0	0.0	3059.0	0.0	2256.0	7.0	2868.0	3.0	0.0	0.0	0.0	4111.0	0.0	0.0	0.0	56.0	3744.0	0.0	0.0	4118.0	0.0	0.0	0.0	1524.0	58.0	0.0	3276.0	6.0	2566.0	0.0	0.0	0.0	0.0	0.0	238.0	0.0	2846.0	54.0	611.0	10.0	0.0	0.0	140.0	814.0	0.0	6756.0	317.0	2887.0	1068.0	3.0	1919.0	3270.0	0.0	320.0	0.0	0.0	3552.0	0.0	618.0	0.0	1653.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salmo', 's__Salmo_trutta']
Salvelinus alpinus	0.0	212.0	0.0	0.0	0.0	0.0	12.0	298.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	602.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2518.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Salmoniformes', 'f__Salmonidae', 'g__Salvelinus', 's__Salvelinus_alpinus']
Perca fluviatilis	25700.0	0.0	5169.0	5407.0	7938.0	3064.0	6316.0	6698.0	13293.0	0.0	0.0	4.0	5487.0	0.0	13720.0	11130.0	1963.0	0.0	867.0	1015.0	1466.0	0.0	9079.0	4362.0	17145.0	11691.0	20703.0	2400.0	9567.0	8449.0	21686.0	6754.0	4792.0	3248.0	2302.0	3150.0	18683.0	10615.0	7564.0	6.0	6.0	0.0	2073.0	0.0	10488.0	22317.0	4878.0	5620.0	7247.0	6605.0	1027.0	7425.0	26592.0	9969.0	10.0	3782.0	0.0	14132.0	10269.0	11.0	23364.0	3446.0	5434.0	3953.0	4.0	12066.0	2197.0	0.0	20083.0	10492.0	26761.0	15391.0	21754.0	9469.0	5120.0	12861.0	17.0	0.0	3698.0	4423.0	15563.0	6.0	5805.0	102.0	33176.0	10376.0	3839.0	3521.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Perciformes', 'f__Percidae', 'g__Perca', 's__Perca_fluviatilis']
Platichthys flesus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7553.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Pleuronectiformes', 'f__Pleuronectidae', 'g__Platichthys', 's__Platichthys_flesus']
Squalius cephalus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3898.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046.0	400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2920.0	['k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Cypriniformes', 'f__Cyprinidae', 'g__Squalius', 's__Squalius_cephalus']
